EmpID,Name,Department,JobLevel,JobTitle,Gender,AnnualCTC,BonusAmount,BaseSalary,Allowances,BenefitsValue,Location,PerformanceRating,EducationLevel,Experience,Age
O00001,Alexander Hill,Operations,Senior Executive,Senior Executive,Male,829780,0,706650,86249,36881,Bengaluru,2,Bachelor,6.7,29
L00001,Nancy Rhodes,Legal,Analyst,Analyst,Female,470888,0,392064,62818,16006,Kolkata,3,Diploma,2.7,25
M00001,Brandon Henderson,Marketing,Senior Executive,Senior Executive,Male,1328177,129547,1057744,99989,40897,Delhi,3,Bachelor,7.0,34
F00001,Daniel Wagner,Finance,Analyst,Finance Analyst,Male,641676,52353,479269,82369,27685,Bengaluru,4,HighSchool,3.8,26
S00001,Cristian Santos,Sales,Assistant Manager,Assistant Manager,Male,1552478,339251,1014982,169801,28444,Pune,5,Bachelor,14.8,41
S00002,Daniel Lawrence,Sales,Executive,Executive,Male,848613,0,708200,125663,14750,Mumbai,2,Diploma,5.3,28
S00003,Aaron Shaffer,Sales,Manager,Sales Manager,Male,3206545,384215,2332129,402592,87609,Bengaluru,3,Bachelor,13.0,33
R00001,Gerald Moore,R&D,Senior Manager,Senior Manager,Male,3768944,0,3237890,465601,65453,Pune,3,Bachelor,14.0,32
F00002,Gabrielle Davis,Finance,Executive,Executive,Female,725724,103740,560521,43431,18032,Kolkata,5,Bachelor,3.3,24
M00002,Ryan Munoz,Marketing,Executive,Executive,Male,793234,0,660894,100386,31954,Bengaluru,5,Bachelor,7.2,32
S00004,Monica Herrera,Sales,Senior Executive,Senior Executive,Female,1191914,164405,868745,126776,31988,Remote,3,HighSchool,8.1,31
L00002,Mrs. Kristen Calderon,Legal,Analyst,Analyst,Female,694846,0,615890,66086,12870,Bengaluru,3,Bachelor,0.0,27
C00001,Shannon Ray,Customer Success,Senior Manager,Senior Manager,Female,3874850,0,3224098,476440,174312,Mumbai,3,Master,20.9,42
I00001,Angel Perez,IT,Executive,Software Engineer I,Male,812941,0,713574,67505,31862,Mumbai,3,Bachelor,3.4,22
S00005,Angela Hall,Sales,Analyst,Sales Associate,Female,625316,107386,463480,33782,20668,Hyderabad,3,Bachelor,1.7,25
S00006,Donald Reid,Sales,Assistant Manager,Assistant Manager,Male,1640225,399266,1128435,86185,26339,Pune,4,Bachelor,12.7,39
I00002,Jacob Clark,IT,Analyst,IT Analyst,Male,448654,0,390647,41827,16180,Other City,3,Diploma,0.9,21
F00003,Timothy Wong,Finance,Analyst,Finance Analyst,Male,669077,0,555015,89194,24868,Hyderabad,2,Diploma,3.5,25
O00002,Christopher Daniel,Operations,Senior Executive,Senior Executive,Male,1366183,0,1167083,170053,29047,Bengaluru,3,Bachelor,9.2,30
I00003,James Mayo,IT,Senior Executive,Software Engineer II,Male,1174443,0,1007990,133890,32563,Delhi,3,Diploma,8.5,28
F00004,Kristin Cohen,Finance,Senior Executive,Senior Executive,Female,1182331,0,1037697,104101,40533,Bengaluru,2,HighSchool,10.7,33
S00007,Ricardo Perez,Sales,Senior Executive,Senior Executive,Male,1724659,717014,877665,93432,36548,Bengaluru,3,Bachelor,7.8,27
I00004,Ethan Adams,IT,Analyst,Support Analyst,Male,629084,0,515444,84401,29239,Hyderabad,3,HighSchool,2.0,23
I00005,Tommy Walter,IT,Executive,Software Engineer I,Male,907284,42441,762745,66947,35151,Hyderabad,3,Bachelor,5.7,29
O00003,Mary Foster,Operations,Executive,Executive,Female,895949,0,737380,114724,43845,Delhi,5,Bachelor,2.0,20
C00002,Jimmy Baker,Customer Success,Director,Director,Male,6105859,0,5449562,476703,179594,Bengaluru,2,MBA,25.3,52
S00008,Justin Baker,Sales,Analyst,Sales Associate,Male,487637,0,402133,64815,20689,Remote,2,Bachelor,3.2,22
O00004,Steven Ross,Operations,Analyst,Analyst,Male,440908,0,389469,38132,13307,Remote,3,Bachelor,0.0,26
F00005,Yolanda Hicks,Finance,Senior Manager,Senior Manager,Female,3242476,0,2824630,353733,64113,Hyderabad,3,Bachelor,22.5,45
S00009,Anthony Rodriguez,Sales,Associate Partner,Associate Partner,Male,6966102,0,5794273,953362,218467,Delhi,2,Master,19.5,38
F00006,Ricky Henderson,Finance,Manager,Manager,Male,2850497,302871,2232037,234289,81300,Delhi,2,Master,14.9,40
S00010,James Ferrell,Sales,Analyst,Sales Associate,Male,703560,83713,528785,75855,15207,Delhi,2,Bachelor,1.5,26
S00011,Wesley Valencia,Sales,Senior Executive,Senior Executive,Male,1119895,96759,919686,75367,28083,Mumbai,3,HighSchool,6.6,26
L00003,Nathan Maldonado,Legal,Executive,Executive,Male,730564,0,652944,63335,14285,Bengaluru,3,Diploma,0.2,20
